Range (m), TOF (s), Mach, Velocity (fps), Energy (ft-lb), Elevation (mils), Windage (mils), Drop (inches)
   0, 0.00, 2.656, 2965, 3280, 0.00, 0.00, -1.97
  50, 0.06, 2.582, 2882, 3099, -0.16, -0.01, -2.60
 100, 0.11, 2.509, 2800, 2926, -0.01, 0.00, -4.62
 150, 0.17, 2.436, 2720, 2759, -0.17, 0.01, -7.87
 200, 0.23, 2.365, 2640, 2600, -0.42, 0.02, -12.51
 250, 0.30, 2.294, 2561, 2448, -0.73, 0.04, -18.63
 300, 0.36, 2.225, 2484, 2302, -1.06, 0.05, -26.31
 350, 0.43, 2.157, 2408, 2163, -1.42, 0.06, -35.66
 400, 0.50, 2.090, 2333, 2030, -1.81, 0.07, -46.79
 450, 0.57, 2.024, 2259, 1904, -2.21, 0.09, -59.80
 500, 0.64, 1.958, 2186, 1783, -2.64, 0.10, -74.83
 550, 0.72, 1.895, 2115, 1669, -3.09, 0.11, -92.01
 600, 0.80, 1.832, 2045, 1560, -3.56, 0.13, -111.49
 650, 0.88, 1.770, 1976, 1457, -4.05, 0.15, -133.43
 700, 0.96, 1.710, 1909, 1359, -4.57, 0.16, -158.00
 750, 1.05, 1.651, 1843, 1267, -5.11, 0.18, -185.39
 800, 1.14, 1.593, 1778, 1179, -5.69, 0.20, -215.81
 850, 1.23, 1.536, 1714, 1097, -6.29, 0.22, -249.48
 900, 1.33, 1.480, 1652, 1019, -6.93, 0.24, -286.65
 950, 1.43, 1.426, 1592,  945, -7.60, 0.26, -327.58
1000, 1.54, 1.373, 1532,  876, -8.30, 0.28, -372.57
1050, 1.65, 1.321, 1475,  812, -9.04, 0.30, -421.94
1100, 1.76, 1.272, 1419,  752, -9.83, 0.33, -476.03
1150, 1.88, 1.223, 1366,  696, -10.66, 0.35, -535.22
1200, 2.00, 1.177, 1314,  644, -11.54, 0.38, -599.93
1250, 2.13, 1.132, 1263,  595, -12.46, 0.41, -670.59
1300, 2.26, 1.088, 1215,  550, -13.45, 0.44, -747.69
